customer_id,customer_name,email,country,city,signup_date,customer_segment
C00050,Customer 00050,customer00050@example.com,India,Hyderabad,2024-01-12,New
C00051,Customer 00051,customer00051@example.com,Singapore,Singapore,2024-09-19,Premium
C00052,Customer 00052,customer00052@example.com,Australia,Sydney,2025-10-18,Regular
C00053,Customer 00053,customer00053@example.com,UAE,Sharjah,2025-03-24,Regular
C00054,Customer 00054,customer00054@example.com,France,Lyon,2024-07-10,Regular
C00055,Customer 00055,customer00055@example.com,USA,San Francisco,2024-04-23,Regular
C00056,Customer 00056,customer00056@example.com,UAE,Abu Dhabi,2024-01-26,New
C00057,Customer 00057,customer00057@example.com,India,Chennai,2025-05-13,Premium
C00058,Customer 00058,customer00058@example.com,India,Bengaluru,2025-05-22,Premium
C00059,Customer 00059,customer00059@example.com,India,Pune,2025-06-28,New
C00060,Customer 00060,customer00060@example.com,India,Hyderabad,2024-03-02,New
C00061,Customer 00061,customer00061@example.com,UK,London,2024-08-16,Premium
C00062,Customer 00062,customer00062@example.com,India,Pune,2025-08-29,Regular
C00063,Customer 00063,customer00063@example.com,Germany,Berlin,2024-02-04,New
C00064,Customer 00064,customer00064@example.com,UK,Birmingham,2025-12-05,Regular
C00065,Customer 00065,customer00065@example.com,India,Hyderabad,2025-03-31,Regular
C00066,Customer 00066,customer00066@example.com,USA,Chicago,2025-08-10,New
C00067,Customer 00067,customer00067@example.com,India,Hyderabad,2025-05-16,Premium
C00068,Customer 00068,customer00068@example.com,Germany,Munich,2025-08-17,Regular
C00069,Customer 00069,customer00069@example.com,India,Mumbai,2024-01-25,New
C00070,Customer 00070,customer00070@example.com,Netherlands,Rotterdam,2025-07-22,Premium
C00071,Customer 00071,customer00071@example.com,Australia,Brisbane,2024-02-01,Regular
C00072,Customer 00072,customer00072@example.com,India,Mumbai,2024-01-12,Regular
C00073,Customer 00073,customer00073@example.com,India,Bengaluru,2024-11-14,New
C00074,Customer 00074,customer00074@example.com,Germany,Munich,2025-08-26,New
C00075,Customer 00075,customer00075@example.com,Canada,Vancouver,2024-01-01,Regular
C00076,Customer 00076,customer00076@example.com,Australia,Sydney,2025-03-10,New
C00077,Customer 00077,customer00077@example.com,Australia,Brisbane,2024-05-15,Regular
C00078,Customer 00078,customer00078@example.com,India,Mumbai,2024-07-14,New
C00079,Customer 00079,customer00079@example.com,UK,London,2024-05-12,Regular
C00080,Customer 00080,customer00080@example.com,India,Chennai,2024-03-26,Premium
C00081,Customer 00081,customer00081@example.com,France,Marseille,2025-04-20,Regular
C00082,Customer 00082,customer00082@example.com,USA,Chicago,2024-11-19,Regular
C00083,Customer 00083,customer00083@example.com,India,Chennai,2024-06-28,Premium
C00084,Customer 00084,customer00084@example.com,India,Pune,2025-05-30,Regular
C00085,Customer 00085,customer00085@example.com,India,Bengaluru,2025-09-29,Regular
C00086,Customer 00086,customer00086@example.com,India,Bengaluru,2024-06-23,Regular
C00087,Customer 00087,customer00087@example.com,Australia,Melbourne,2024-01-21,Premium
C00088,Customer 00088,customer00088@example.com,USA,Seattle,2024-04-14,New
C00089,Customer 00089,customer00089@example.com,France,Lyon,2025-07-31,Regular
C00090,Customer 00090,customer00090@example.com,UK,Manchester,2025-03-18,Regular
C00091,Customer 00091,customer00091@example.com,India,Pune,2024-02-18,Regular
C00092,Customer 00092,customer00092@example.com,Canada,Vancouver,2025-06-11,Premium
C00093,Customer 00093,customer00093@example.com,Australia,Sydney,2024-05-24,Regular
C00094,Customer 00094,customer00094@example.com,USA,Chicago,2024-12-05,New
C00095,Customer 00095,customer00095@example.com,Australia,Sydney,2024-12-19,VIP
C00096,Customer 00096,customer00096@example.com,UK,Birmingham,2024-03-15,New
C00097,Customer 00097,customer00097@example.com,USA,Seattle,2025-07-31,New
C00098,Customer 00098,customer00098@example.com,UK,Birmingham,2025-09-28,Regular
C00099,Customer 00099,customer00099@example.com,India,Hyderabad,2024-11-14,Premium
C00100,Customer 00100,customer00100@example.com,India,Bengaluru,2024-03-27,Premium
C00101,Customer 00101,customer00101@example.com,India,Chennai,2025-07-06,Premium
C00102,Customer 00102,customer00102@example.com,USA,Austin,2025-11-28,New
C00103,Customer 00103,customer00103@example.com,India,Bengaluru,2024-02-11,Regular
C00104,Customer 00104,customer00104@example.com,UK,Leeds,2024-04-02,Regular
C00105,Customer 00105,customer00105@example.com,UAE,Abu Dhabi,2025-11-27,Premium
C00106,Customer 00106,customer00106@example.com,India,Pune,2025-12-27,Regular
C00107,Customer 00107,customer00107@example.com,UK,Leeds,2025-05-21,New
C00108,Customer 00108,customer00108@example.com,Australia,Sydney,2025-06-12,Regular
C00109,Customer 00109,customer00109@example.com,India,Mumbai,2024-09-21,Regular
C00110,Customer 00110,customer00110@example.com,India,Bengaluru,2025-09-17,Regular
C00111,Customer 00111,customer00111@example.com,India,Bengaluru,2024-10-18,Premium
C00112,Customer 00112,customer00112@example.com,India,Pune,2025-04-08,Regular
C00113,Customer 00113,customer00113@example.com,UAE,Sharjah,2025-07-13,Regular
C00114,Customer 00114,customer00114@example.com,Germany,Hamburg,2024-04-06,Regular
C00115,Customer 00115,customer00115@example.com,USA,Austin,2024-04-04,Regular
C00116,Customer 00116,customer00116@example.com,France,Marseille,2024-11-21,New
C00117,Customer 00117,customer00117@example.com,Germany,Hamburg,2024-03-14,Regular
C00118,Customer 00118,customer00118@example.com,India,Delhi,2024-12-01,New
C00119,Customer 00119,customer00119@example.com,France,Marseille,2024-03-08,Premium
C00120,Customer 00120,customer00120@example.com,USA,Seattle,2024-03-17,New
C00121,Customer 00121,customer00121@example.com,Germany,Munich,2024-07-26,Regular
C00122,Customer 00122,customer00122@example.com,France,Paris,2024-08-08,Regular
C00123,Customer 00123,customer00123@example.com,India,Bengaluru,2024-09-18,Premium
C00124,Customer 00124,customer00124@example.com,India,Chennai,2025-02-13,Regular
C00125,Customer 00125,customer00125@example.com,India,Delhi,2024-11-26,Premium
C00126,Customer 00126,customer00126@example.com,UK,London,2024-12-09,Premium
C00127,Customer 00127,customer00127@example.com,Germany,Berlin,2024-03-14,Premium
C00128,Customer 00128,customer00128@example.com,France,Paris,2025-09-28,Premium
C00129,Customer 00129,customer00129@example.com,India,Bengaluru,2025-11-30,New
C00130,Customer 00130,customer00130@example.com,USA,Chicago,2024-09-10,Premium
C00131,Customer 00131,customer00131@example.com,UK,Leeds,2024-11-27,Premium
C00132,Customer 00132,customer00132@example.com,India,Chennai,2025-02-01,VIP
C00133,Customer 00133,customer00133@example.com,India,Hyderabad,2024-12-10,New
C00134,Customer 00134,customer00134@example.com,India,Delhi,2025-08-06,Regular
C00135,Customer 00135,customer00135@example.com,UAE,Abu Dhabi,2025-10-29,New
C00136,Customer 00136,customer00136@example.com,India,Chennai,2025-03-30,Regular
C00137,Customer 00137,customer00137@example.com,USA,Seattle,2024-04-24,Premium
C00138,Customer 00138,customer00138@example.com,Canada,Montreal,2024-11-08,VIP
C00139,Customer 00139,customer00139@example.com,UK,Birmingham,2024-08-15,Regular
C00140,Customer 00140,customer00140@example.com,Singapore,Singapore,2024-09-01,Premium
C00141,Customer 00141,customer00141@example.com,Singapore,Singapore,2025-06-09,New
C00142,Customer 00142,customer00142@example.com,India,Pune,2025-06-11,New
C00143,Customer 00143,customer00143@example.com,UK,Birmingham,2025-03-02,Regular
C00144,Customer 00144,customer00144@example.com,India,Pune,2024-02-11,Regular
C00145,Customer 00145,customer00145@example.com,India,Mumbai,2025-04-09,Premium
C00146,Customer 00146,customer00146@example.com,India,Hyderabad,2025-09-13,Regular
C00147,Customer 00147,customer00147@example.com,USA,Austin,2024-10-04,Regular
C00148,Customer 00148,customer00148@example.com,UK,Leeds,2024-01-19,Regular
C00149,Customer 00149,customer00149@example.com,India,Bengaluru,2024-03-06,Regular
C00150,Customer 00150,customer00150@example.com,India,Delhi,2024-06-15,Premium
C00151,Customer 00151,customer00151@example.com,UAE,Dubai,2025-08-07,Regular
C00152,Customer 00152,customer00152@example.com,India,Pune,2025-02-06,Regular
C00153,Customer 00153,customer00153@example.com,India,Pune,2025-02-12,Premium
C00154,Customer 00154,customer00154@example.com,UK,Birmingham,2024-04-21,Regular
C00155,Customer 00155,customer00155@example.com,Netherlands,Amsterdam,2024-09-30,Premium
C00156,Customer 00156,customer00156@example.com,India,Chennai,2025-02-10,New
C00157,Customer 00157,customer00157@example.com,Canada,Toronto,2025-01-07,New
C00158,Customer 00158,customer00158@example.com,Australia,Brisbane,2025-08-19,VIP
C00159,Customer 00159,customer00159@example.com,India,Mumbai,2025-10-12,Premium
C00160,Customer 00160,customer00160@example.com,Australia,Brisbane,2024-02-08,Regular
C00161,Customer 00161,customer00161@example.com,UK,Manchester,2024-04-14,Regular
C00162,Customer 00162,customer00162@example.com,USA,Chicago,2024-11-19,Premium
C00163,Customer 00163,customer00163@example.com,USA,Austin,2025-02-17,New
C00164,Customer 00164,customer00164@example.com,USA,Chicago,2025-03-04,New
C00165,Customer 00165,customer00165@example.com,India,Chennai,2025-09-26,Regular
C00166,Customer 00166,customer00166@example.com,Germany,Hamburg,2025-12-30,New
C00167,Customer 00167,customer00167@example.com,India,Hyderabad,2024-03-01,New
C00168,Customer 00168,customer00168@example.com,India,Chennai,2025-09-03,Premium
C00169,Customer 00169,customer00169@example.com,India,Mumbai,2024-11-02,New
C00170,Customer 00170,customer00170@example.com,USA,Seattle,2024-12-19,Premium
C00171,Customer 00171,customer00171@example.com,Canada,Toronto,2025-01-27,Regular
C00172,Customer 00172,customer00172@example.com,India,Hyderabad,2024-07-22,Regular
C00173,Customer 00173,customer00173@example.com,USA,Austin,2024-09-14,Regular
C00174,Customer 00174,customer00174@example.com,India,Mumbai,2025-04-30,Regular
C00175,Customer 00175,customer00175@example.com,USA,Chicago,2025-05-31,New
C00176,Customer 00176,customer00176@example.com,India,Hyderabad,2025-03-21,New
C00177,Customer 00177,customer00177@example.com,Canada,Toronto,2025-12-09,Premium
C00178,Customer 00178,customer00178@example.com,UK,London,2024-06-28,Regular
C00179,Customer 00179,customer00179@example.com,UAE,Dubai,2024-12-07,New
C00180,Customer 00180,customer00180@example.com,India,Pune,2024-05-12,VIP
C00181,Customer 00181,customer00181@example.com,India,Delhi,2025-03-18,VIP
C00182,Customer 00182,customer00182@example.com,India,Hyderabad,2024-09-09,Regular
C00183,Customer 00183,customer00183@example.com,UAE,Sharjah,2024-09-21,New
C00184,Customer 00184,customer00184@example.com,France,Paris,2024-04-02,Premium
C00185,Customer 00185,customer00185@example.com,India,Bengaluru,2025-10-23,Premium
C00186,Customer 00186,customer00186@example.com,Canada,Montreal,2025-02-14,New
C00187,Customer 00187,customer00187@example.com,Germany,Munich,2024-05-17,New
C00188,Customer 00188,customer00188@example.com,USA,San Francisco,2024-07-26,Premium
C00189,Customer 00189,customer00189@example.com,USA,Chicago,2025-09-28,Premium
C00190,Customer 00190,customer00190@example.com,India,Mumbai,2025-07-26,Premium
C00191,Customer 00191,customer00191@example.com,India,Chennai,2024-11-02,New
C00192,Customer 00192,customer00192@example.com,France,Marseille,2024-09-22,Regular
C00193,Customer 00193,customer00193@example.com,UAE,Abu Dhabi,2025-10-07,Regular
C00194,Customer 00194,customer00194@example.com,USA,Chicago,2024-11-13,New
C00195,Customer 00195,customer00195@example.com,India,Chennai,2024-04-22,New
C00196,Customer 00196,customer00196@example.com,India,Pune,2025-01-12,Regular
C00197,Customer 00197,customer00197@example.com,Australia,Brisbane,2025-03-29,Regular
C00198,Customer 00198,customer00198@example.com,France,Paris,2024-07-09,Regular
C00199,Customer 00199,customer00199@example.com,France,Marseille,2025-03-15,Premium
C00200,Customer 00200,customer00200@example.com,Australia,Melbourne,2024-07-05,Premium
C00201,Customer 00201,customer00201@example.com,USA,Seattle,2025-01-01,Premium
C00202,Customer 00202,customer00202@example.com,India,Pune,2024-03-29,Premium
C00203,Customer 00203,customer00203@example.com,India,Pune,2024-07-05,Regular
C00204,Customer 00204,customer00204@example.com,France,Lyon,2024-05-11,Regular
C00205,Customer 00205,customer00205@example.com,USA,Seattle,2025-09-26,Regular
C00206,Customer 00206,customer00206@example.com,India,Chennai,2025-07-13,New
C00207,Customer 00207,customer00207@example.com,India,Delhi,2025-01-10,Premium
C00208,Customer 00208,customer00208@example.com,Canada,Toronto,2025-11-21,New
C00209,Customer 00209,customer00209@example.com,India,Bengaluru,2025-11-22,Regular
C00210,Customer 00210,customer00210@example.com,India,Bengaluru,2024-04-08,Regular
C00211,Customer 00211,customer00211@example.com,USA,New York,2024-02-03,Regular
C00212,Customer 00212,customer00212@example.com,Canada,Vancouver,2025-08-04,Regular
C00213,Customer 00213,customer00213@example.com,Canada,Toronto,2024-06-19,Regular
C00214,Customer 00214,customer00214@example.com,India,Chennai,2024-12-31,Regular
C00215,Customer 00215,customer00215@example.com,Canada,Montreal,2024-02-28,New
C00216,Customer 00216,customer00216@example.com,India,Bengaluru,2024-06-29,Premium
C00217,Customer 00217,customer00217@example.com,India,Chennai,2024-01-19,Regular
C00218,Customer 00218,customer00218@example.com,Australia,Sydney,2024-08-13,Regular
C00219,Customer 00219,customer00219@example.com,USA,New York,2025-04-17,Regular
C00220,Customer 00220,customer00220@example.com,Germany,Berlin,2024-04-04,New
C00221,Customer 00221,customer00221@example.com,Canada,Montreal,2024-10-23,Regular
C00222,Customer 00222,customer00222@example.com,USA,New York,2025-08-15,Regular
C00223,Customer 00223,customer00223@example.com,India,Bengaluru,2024-06-23,Premium
C00224,Customer 00224,customer00224@example.com,UK,London,2024-08-09,Regular
C00225,Customer 00225,customer00225@example.com,India,Hyderabad,2025-09-06,New
C00226,Customer 00226,customer00226@example.com,India,Mumbai,2024-02-23,Regular
C00227,Customer 00227,customer00227@example.com,Singapore,Singapore,2025-11-25,New
C00228,Customer 00228,customer00228@example.com,UK,Manchester,2025-02-06,New
C00229,Customer 00229,customer00229@example.com,France,Lyon,2024-11-13,Regular
C00230,Customer 00230,customer00230@example.com,USA,Seattle,2024-12-14,Regular
C00231,Customer 00231,customer00231@example.com,Germany,Berlin,2025-03-18,Regular
C00232,Customer 00232,customer00232@example.com,UK,Manchester,2025-08-02,Premium
C00233,Customer 00233,customer00233@example.com,USA,San Francisco,2025-06-23,Premium
C00234,Customer 00234,customer00234@example.com,UK,Leeds,2024-10-08,Premium
C00235,Customer 00235,customer00235@example.com,India,Bengaluru,2024-12-25,New
C00236,Customer 00236,customer00236@example.com,Australia,Melbourne,2025-09-22,Regular
C00237,Customer 00237,customer00237@example.com,India,Delhi,2025-10-07,Regular
C00238,Customer 00238,customer00238@example.com,India,Bengaluru,2025-10-02,Regular
C00239,Customer 00239,customer00239@example.com,USA,New York,2024-01-08,New
C00240,Customer 00240,customer00240@example.com,India,Hyderabad,2025-07-16,New
C00241,Customer 00241,customer00241@example.com,UAE,Sharjah,2025-05-05,Regular
C00242,Customer 00242,customer00242@example.com,Singapore,Singapore,2024-12-06,Premium
C00243,Customer 00243,customer00243@example.com,UAE,Abu Dhabi,2025-04-16,Regular
C00244,Customer 00244,customer00244@example.com,UK,Leeds,2025-11-17,Regular
C00245,Customer 00245,customer00245@example.com,India,Delhi,2025-11-25,Regular
C00246,Customer 00246,customer00246@example.com,UAE,Abu Dhabi,2025-12-04,Regular
C00247,Customer 00247,customer00247@example.com,UK,London,2024-09-05,Regular
C00248,Customer 00248,customer00248@example.com,Singapore,Singapore,2024-08-22,New
C00249,Customer 00249,customer00249@example.com,Singapore,Singapore,2024-03-23,Regular
C00250,Customer 00250,customer00250@example.com,France,Lyon,2024-04-02,Regular
C00251,Customer 00251,customer00251@example.com,India,Pune,2025-01-28,New
C00252,Customer 00252,customer00252@example.com,UK,Birmingham,2024-09-24,New
C00253,Customer 00253,customer00253@example.com,France,Paris,2025-02-20,New
C00254,Customer 00254,customer00254@example.com,India,Bengaluru,2025-09-23,Regular
C00255,Customer 00255,customer00255@example.com,India,Bengaluru,2025-08-05,Premium
C00256,Customer 00256,customer00256@example.com,USA,Chicago,2025-06-12,Regular
C00257,Customer 00257,customer00257@example.com,UAE,Sharjah,2024-09-09,Regular
C00258,Customer 00258,customer00258@example.com,Canada,Vancouver,2024-05-01,Premium
C00259,Customer 00259,customer00259@example.com,USA,Chicago,2024-01-10,New
C00260,Customer 00260,customer00260@example.com,India,Delhi,2024-11-11,New
C00261,Customer 00261,customer00261@example.com,USA,Chicago,2024-09-29,Regular
C00262,Customer 00262,customer00262@example.com,Netherlands,Rotterdam,2024-11-01,Premium
C00263,Customer 00263,customer00263@example.com,India,Delhi,2024-07-28,Regular
C00264,Customer 00264,customer00264@example.com,USA,Chicago,2025-12-30,Regular
C00265,Customer 00265,customer00265@example.com,France,Paris,2025-04-08,VIP
C00266,Customer 00266,customer00266@example.com,Australia,Melbourne,2025-12-12,Premium
C00267,Customer 00267,customer00267@example.com,Canada,Montreal,2025-12-28,New
C00268,Customer 00268,customer00268@example.com,Canada,Toronto,2025-12-17,Premium
C00269,Customer 00269,customer00269@example.com,UK,London,2025-02-19,New
C00270,Customer 00270,customer00270@example.com,India,Pune,2024-08-03,Regular
C00271,Customer 00271,customer00271@example.com,Germany,Hamburg,2024-03-20,New
C00272,Customer 00272,customer00272@example.com,Germany,Berlin,2025-04-24,Regular
C00273,Customer 00273,customer00273@example.com,France,Paris,2025-06-30,Regular
C00274,Customer 00274,customer00274@example.com,UAE,Dubai,2024-01-18,Premium
C00275,Customer 00275,customer00275@example.com,USA,Chicago,2024-06-13,Regular
C00276,Customer 00276,customer00276@example.com,UK,Leeds,2025-06-08,Regular
C00277,Customer 00277,customer00277@example.com,Germany,Munich,2024-07-20,Regular
C00278,Customer 00278,customer00278@example.com,USA,Seattle,2024-12-11,Premium
C00279,Customer 00279,customer00279@example.com,Canada,Toronto,2024-12-31,Premium
C00280,Customer 00280,customer00280@example.com,Germany,Munich,2025-03-23,Regular
C00281,Customer 00281,customer00281@example.com,France,Paris,2025-05-27,Premium
C00282,Customer 00282,customer00282@example.com,India,Bengaluru,2024-11-14,Regular
C00283,Customer 00283,customer00283@example.com,UK,Leeds,2024-08-04,Regular
C00284,Customer 00284,customer00284@example.com,India,Hyderabad,2024-02-03,Premium
C00285,Customer 00285,customer00285@example.com,USA,Seattle,2024-09-22,New
C00286,Customer 00286,customer00286@example.com,India,Mumbai,2025-10-01,VIP
C00287,Customer 00287,customer00287@example.com,UK,Leeds,2025-12-24,Regular
C00288,Customer 00288,customer00288@example.com,USA,Austin,2024-03-20,New
C00289,Customer 00289,customer00289@example.com,India,Delhi,2025-11-07,Premium
C00290,Customer 00290,customer00290@example.com,USA,San Francisco,2025-02-16,Regular
C00291,Customer 00291,customer00291@example.com,India,Pune,2024-09-08,New
C00292,Customer 00292,customer00292@example.com,India,Pune,2024-01-12,New
C00293,Customer 00293,customer00293@example.com,Germany,Munich,2025-02-04,Regular
C00294,Customer 00294,customer00294@example.com,UK,Manchester,2025-12-24,New
C00295,Customer 00295,customer00295@example.com,India,Bengaluru,2024-10-08,Premium
C00296,Customer 00296,customer00296@example.com,USA,Austin,2024-04-21,Premium
C00297,Customer 00297,customer00297@example.com,Australia,Sydney,2025-12-23,Regular
C00298,Customer 00298,customer00298@example.com,India,Hyderabad,2025-01-12,Regular
C00299,Customer 00299,customer00299@example.com,USA,San Francisco,2024-09-24,Regular
C00300,Customer 00300,customer00300@example.com,India,Pune,2024-10-24,Regular
C00301,Customer 00301,customer00301@example.com,India,Chennai,2024-11-12,Premium
C00302,Customer 00302,customer00302@example.com,USA,New York,2025-07-23,VIP
C00303,Customer 00303,customer00303@example.com,USA,Austin,2025-05-23,Regular
C00304,Customer 00304,customer00304@example.com,USA,New York,2025-06-29,Regular
C00305,Customer 00305,customer00305@example.com,Australia,Sydney,2024-12-30,Regular
C00306,Customer 00306,customer00306@example.com,Singapore,Singapore,2025-06-30,Regular
C00307,Customer 00307,customer00307@example.com,USA,San Francisco,2024-09-27,Regular
C00308,Customer 00308,customer00308@example.com,India,Chennai,2025-04-18,Regular
C00309,Customer 00309,customer00309@example.com,Germany,Berlin,2025-06-20,New
C00310,Customer 00310,customer00310@example.com,India,Hyderabad,2024-08-21,Premium
C00311,Customer 00311,customer00311@example.com,UK,London,2024-02-28,Regular
C00312,Customer 00312,customer00312@example.com,India,Bengaluru,2024-09-07,Premium
C00313,Customer 00313,customer00313@example.com,India,Hyderabad,2024-03-26,Premium
C00314,Customer 00314,customer00314@example.com,Singapore,Singapore,2025-01-24,Regular
C00315,Customer 00315,customer00315@example.com,Germany,Hamburg,2024-06-28,Regular
C00316,Customer 00316,customer00316@example.com,Canada,Toronto,2025-12-19,Regular
C00317,Customer 00317,customer00317@example.com,UK,Leeds,2024-05-28,New
C00318,Customer 00318,customer00318@example.com,India,Hyderabad,2025-08-05,Premium
C00319,Customer 00319,customer00319@example.com,India,Chennai,2024-04-30,New
C00320,Customer 00320,customer00320@example.com,India,Bengaluru,2025-08-27,Regular
C00321,Customer 00321,customer00321@example.com,USA,San Francisco,2024-09-12,New
C00322,Customer 00322,customer00322@example.com,Canada,Montreal,2024-11-04,Premium
C00323,Customer 00323,customer00323@example.com,Canada,Toronto,2024-02-28,Regular
C00324,Customer 00324,customer00324@example.com,India,Chennai,2024-03-09,Regular
C00325,Customer 00325,customer00325@example.com,Singapore,Singapore,2025-03-21,Regular
C00326,Customer 00326,customer00326@example.com,Australia,Melbourne,2025-01-22,Premium
C00327,Customer 00327,customer00327@example.com,USA,San Francisco,2024-03-26,New
C00328,Customer 00328,customer00328@example.com,USA,San Francisco,2024-08-14,Regular
C00329,Customer 00329,customer00329@example.com,UK,Birmingham,2025-08-15,Regular
C00330,Customer 00330,customer00330@example.com,India,Mumbai,2025-09-17,New
C00331,Customer 00331,customer00331@example.com,UK,Manchester,2024-07-02,New
C00332,Customer 00332,customer00332@example.com,Australia,Brisbane,2024-11-17,Regular
C00333,Customer 00333,customer00333@example.com,India,Pune,2024-11-13,New
C00334,Customer 00334,customer00334@example.com,India,Mumbai,2025-07-19,Regular
C00335,Customer 00335,customer00335@example.com,India,Bengaluru,2025-02-02,New
C00336,Customer 00336,customer00336@example.com,India,Mumbai,2025-12-09,Regular
C00337,Customer 00337,customer00337@example.com,France,Lyon,2024-10-19,New
C00338,Customer 00338,customer00338@example.com,Canada,Toronto,2024-10-19,Regular
C00339,Customer 00339,customer00339@example.com,UK,Birmingham,2025-04-29,Premium
C00340,Customer 00340,customer00340@example.com,India,Delhi,2025-03-22,Regular
C00341,Customer 00341,customer00341@example.com,UK,Birmingham,2025-11-22,Regular
C00342,Customer 00342,customer00342@example.com,UK,London,2025-02-15,Regular
C00343,Customer 00343,customer00343@example.com,India,Hyderabad,2025-05-22,New
C00344,Customer 00344,customer00344@example.com,UK,Leeds,2024-08-31,New
C00345,Customer 00345,customer00345@example.com,UK,London,2025-02-23,New
C00346,Customer 00346,customer00346@example.com,USA,New York,2024-06-02,VIP
C00347,Customer 00347,customer00347@example.com,USA,San Francisco,2025-02-27,Premium
C00348,Customer 00348,customer00348@example.com,India,Bengaluru,2024-09-29,Premium
C00349,Customer 00349,customer00349@example.com,UK,Birmingham,2025-10-08,VIP
C00350,Customer 00350,customer00350@example.com,USA,Chicago,2025-06-03,Premium
C00351,Customer 00351,customer00351@example.com,UK,Birmingham,2024-05-07,Premium
C00352,Customer 00352,customer00352@example.com,France,Paris,2025-01-07,Regular
C00353,Customer 00353,customer00353@example.com,Canada,Toronto,2025-07-21,Regular
C00354,Customer 00354,customer00354@example.com,India,Mumbai,2025-09-29,New
C00355,Customer 00355,customer00355@example.com,India,Mumbai,2024-06-07,Regular
C00356,Customer 00356,customer00356@example.com,USA,Chicago,2025-07-24,Regular
C00357,Customer 00357,customer00357@example.com,India,Delhi,2025-07-23,VIP
C00358,Customer 00358,customer00358@example.com,USA,San Francisco,2025-10-13,Regular
C00359,Customer 00359,customer00359@example.com,UAE,Sharjah,2024-06-24,Regular
C00360,Customer 00360,customer00360@example.com,USA,Austin,2025-09-11,Regular
